date,value,cash,positions
2000-01-03,100000.0,100000.0,0
2000-01-04,100000.0,100000.0,0
2000-01-05,100000.0,100000.0,0
2000-01-06,100000.0,100000.0,0
2000-01-07,100000.0,100000.0,0
2000-01-10,100000.0,100000.0,0
2000-01-11,100000.0,100000.0,0
2000-01-12,100000.0,100000.0,0
2000-01-13,100000.0,100000.0,0
2000-01-14,100000.0,100000.0,0
2000-01-18,100000.0,100000.0,0
2000-01-19,100000.0,100000.0,0
2000-01-20,100000.0,100000.0,0
2000-01-21,100000.0,100000.0,0
2000-01-24,100000.0,100000.0,0
2000-01-25,100000.0,100000.0,0
2000-01-26,100000.0,100000.0,0
2000-01-27,100000.0,100000.0,0
2000-01-28,100000.0,100000.0,0
2000-01-31,100000.0,100000.0,0
2000-02-01,100000.0,100000.0,0
2000-02-02,100000.0,100000.0,0
2000-02-03,100000.0,100000.0,0
2000-02-04,100000.0,100000.0,0
2000-02-07,100000.0,100000.0,0
2000-02-08,100000.0,100000.0,0
2000-02-09,100000.0,100000.0,0
2000-02-10,100000.0,100000.0,0
2000-02-11,100000.0,100000.0,0
2000-02-14,100000.0,100000.0,0
2000-02-15,100000.0,100000.0,0
2000-02-16,100000.0,100000.0,0
2000-02-17,100000.0,100000.0,0
2000-02-18,100000.0,100000.0,0
2000-02-22,100000.0,100000.0,0
2000-02-23,100000.0,100000.0,0
2000-02-24,100000.0,100000.0,0
2000-02-25,100000.0,100000.0,0
2000-02-28,100000.0,100000.0,0
2000-02-29,100000.0,100000.0,0
2000-03-01,100000.0,100000.0,0
2000-03-02,100000.0,100000.0,0
2000-03-03,100000.0,100000.0,0
2000-03-06,100000.0,100000.0,0
2000-03-07,100000.0,100000.0,0
2000-03-08,100000.0,100000.0,0
2000-03-09,100000.0,100000.0,0
2000-03-10,100000.0,100000.0,0
2000-03-13,100000.0,100000.0,0
2000-03-14,100000.0,100000.0,0
2000-03-15,100000.0,100000.0,0
2000-03-16,100000.0,100000.0,0
2000-03-17,100000.0,100000.0,0
2000-03-20,100000.0,100000.0,0
2000-03-21,100000.0,100000.0,0
2000-03-22,100000.0,100000.0,0
2000-03-23,100000.0,100000.0,0
2000-03-24,100000.0,100000.0,0
2000-03-27,100000.0,100000.0,0
2000-03-28,100000.0,100000.0,0
2000-03-29,100000.0,100000.0,0
2000-03-30,100000.0,100000.0,0
2000-03-31,100000.0,100000.0,0
2000-04-03,100000.0,100000.0,0
2000-04-04,100000.0,100000.0,0
2000-04-05,100000.0,100000.0,0
2000-04-06,100000.0,100000.0,0
2000-04-07,100000.0,100000.0,0
2000-04-10,100000.0,100000.0,0
2000-04-11,100000.0,100000.0,0
2000-04-12,100000.0,100000.0,0
2000-04-13,100000.0,100000.0,0
2000-04-14,100000.0,100000.0,0
2000-04-17,100000.0,100000.0,0
2000-04-18,100000.0,100000.0,0
2000-04-19,100000.0,100000.0,0
2000-04-20,100000.0,100000.0,0
2000-04-24,100000.0,100000.0,0
2000-04-25,100000.0,100000.0,0
2000-04-26,100000.0,100000.0,0
2000-04-27,100000.0,100000.0,0
2000-04-28,100000.0,100000.0,0
2000-05-01,100000.0,100000.0,0
2000-05-02,100000.0,100000.0,0
2000-05-03,100000.0,100000.0,0
2000-05-04,100000.0,100000.0,0
2000-05-05,100000.0,100000.0,0
2000-05-08,100000.0,100000.0,0
2000-05-09,100000.0,100000.0,0
2000-05-10,100000.0,100000.0,0
2000-05-11,100000.0,100000.0,0
2000-05-12,100000.0,100000.0,0
2000-05-15,100000.0,100000.0,0
2000-05-16,100000.0,100000.0,0
2000-05-17,100000.0,100000.0,0
2000-05-18,100000.0,100000.0,0
2000-05-19,100000.0,100000.0,0
2000-05-22,100000.0,100000.0,0
2000-05-23,100000.0,100000.0,0
2000-05-24,100000.0,100000.0,0
2000-05-25,100000.0,100000.0,0
2000-05-26,100000.0,100000.0,0
2000-05-30,100000.0,100000.0,0
2000-05-31,100000.0,100000.0,0
2000-06-01,100000.0,100000.0,0
2000-06-02,100000.0,100000.0,0
2000-06-05,100000.0,100000.0,0
2000-06-06,100000.0,100000.0,0
2000-06-07,100000.0,100000.0,0
2000-06-08,100000.0,100000.0,0
2000-06-09,100000.0,100000.0,0
2000-06-12,100000.0,100000.0,0
2000-06-13,100000.0,100000.0,0
2000-06-14,100000.0,100000.0,0
2000-06-15,100000.0,100000.0,0
2000-06-16,100000.0,100000.0,0
2000-06-19,100000.0,100000.0,0
2000-06-20,100000.0,100000.0,0
2000-06-21,100000.0,100000.0,0
2000-06-22,100000.0,100000.0,0
2000-06-23,100000.0,100000.0,0
2000-06-26,100000.0,100000.0,0
2000-06-27,100000.0,100000.0,0
2000-06-28,100000.0,100000.0,0
2000-06-29,100000.0,100000.0,0
2000-06-30,100000.0,100000.0,0
2000-07-03,100000.0,100000.0,0
2000-07-05,100000.0,100000.0,0
2000-07-06,100000.0,100000.0,0
2000-07-07,100000.0,100000.0,0
2000-07-10,100000.0,100000.0,0
2000-07-11,100000.0,100000.0,0
2000-07-12,100000.0,100000.0,0
2000-07-13,100000.0,100000.0,0
2000-07-14,100000.0,100000.0,0
2000-07-17,100000.0,100000.0,0
2000-07-18,100000.0,100000.0,0
2000-07-19,100000.0,100000.0,0
2000-07-20,100000.0,100000.0,0
2000-07-21,100000.0,100000.0,0
2000-07-24,100000.0,100000.0,0
2000-07-25,100000.0,100000.0,0
2000-07-26,100000.0,100000.0,0
2000-07-27,100000.0,100000.0,0
2000-07-28,100000.0,100000.0,0
2000-07-31,100000.0,100000.0,0
2000-08-01,100000.0,100000.0,0
2000-08-02,100000.0,100000.0,0
2000-08-03,100000.0,100000.0,0
2000-08-04,100000.0,100000.0,0
2000-08-07,100000.0,100000.0,0
2000-08-08,100000.0,100000.0,0
2000-08-09,100000.0,100000.0,0
2000-08-10,100000.0,100000.0,0
2000-08-11,100000.0,100000.0,0
2000-08-14,100000.0,100000.0,0
2000-08-15,100000.0,100000.0,0
2000-08-16,100000.0,100000.0,0
2000-08-17,100000.0,100000.0,0
2000-08-18,100000.0,100000.0,0
2000-08-21,100000.0,100000.0,0
2000-08-22,100000.0,100000.0,0
2000-08-23,100000.0,100000.0,0
2000-08-24,100000.0,100000.0,0
2000-08-25,100000.0,100000.0,0
2000-08-28,100000.0,100000.0,0
2000-08-29,100000.0,100000.0,0
2000-08-30,100000.0,100000.0,0
2000-08-31,100000.0,100000.0,0
2000-09-01,100000.0,100000.0,0
2000-09-05,100000.0,100000.0,0
2000-09-06,100000.0,100000.0,0
2000-09-07,100000.0,100000.0,0
2000-09-08,100000.0,100000.0,0
2000-09-11,100000.0,100000.0,0
2000-09-12,100000.0,100000.0,0
2000-09-13,100000.0,100000.0,0
2000-09-14,100000.0,100000.0,0
2000-09-15,100000.0,100000.0,0
2000-09-18,100000.0,100000.0,0
2000-09-19,100000.0,100000.0,0
2000-09-20,100000.0,100000.0,0
2000-09-21,100000.0,100000.0,0
2000-09-22,100000.0,100000.0,0
